0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,3,0,9,6,5,0,4,2,0,2,0,3,0,0,91038948.22424166,0.0009437954885889693,277701079.3439042,0.0,81398651.09167255,0.004796395949605984,19354787.508941744,0.0005675771893250411,30351526.042379983,0.0,30700000.0,1786.7027279720019
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,7,2,0,0,194183927.95924816,0.06194543922441832,47842699.56310011,0.0,56340633.47301407,0.048458313771854944,19053400.611093625,0.0018736473025421504,27578229.96765524,0.0,151900000.0,0.0
0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,4,3,0,0,0,0,0,0,0,8,6,0,1,3,96223098.04916811,0.0,21922756.80707896,0.005544162833463429,0.0,0.0,36706655.77949969,0.0005756041350087658,83704878.52153037,0.006664013386655848,431100000.0,1170.0189959561726
0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,3,1,0,6,0,0,0,0,0,0,0,0,0,0,2,0,95486976.46933737,0.0,21806832.32220212,0.0018286001792650842,0.0,0.0,4401224.041618609,0.00018989990576149298,29010568.393769395,0.00011588736226589229,977600000.0,1203.7974943617082
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,2,4,0,0,2,2,7,0,0,0,0,0,0,1,148997519.22073448,0.0,96439651.41700509,0.01375079576789669,58768098.74581756,0.0,3994983.2105243476,0.0005473714696829126,33052645.489350494,0.0019789917145207206,377300000.0,1344.8962963068539
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,1,2,0,0,0,1,0,0,1,0,0,89068254.21950817,0.0,132211667.53339729,0.012784099551586228,186937847.36574626,0.09023210584508358,6320800.309666242,0.0,25037214.086173728,0.0,84600000.0,4011.584507809681
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,0,0,0,7,1,0,2,7,0,1,0,0,3,0,42291505.65437629,0.0,137061857.89658317,0.003919455155023286,78053674.3155126,0.00920758860915022,10518588.200643156,0.0005751802094593405,30351526.042379983,0.0,273100000.0,727.316253322679
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,1,0,0,3,6,0,0,1,0,2,125797238.44921103,0.0,119004106.8603118,0.057483515547810754,147895094.6960898,0.16483599217580333,12586457.998778107,0.0,53557815.768892445,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,7,6,0,0,0,0,0,184259399.2099614,0.0074334527069301985,97137877.54807635,0.008226135797139829,157918623.98305097,0.0197803190610964,12586457.998778107,0.0,54498267.751877554,0.004409851213093647,0.0,11956.481364561598
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,9,6,0,0,5,0,0,1,0,0,0,0,0,0,216313636.58358413,0.0,108876492.06357664,0.03514417341581882,113621257.22124787,0.12507078133182226,4603952.757625947,0.0017169260518826216,20079972.088721406,0.013585726445431847,121200000.0,0.0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,5,1,3,2,3,0,0,0,7,7,7,0,1,0,195793481.4077574,0.006489657218341229,151797120.6679083,0.0,66457559.25074031,0.010684875575058789,55132637.76085901,0.0,25037214.086173728,0.0,151900000.0,3252.5158155661584
